TIP_In2020,ID Number,Control Number,Project Title,Lead Agency,Project Type,Year,Funding Category,FedAmount,StateAmount,LocalAmount,TotAmount,Funding Source
TRUE,135,TA00390,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2021,CARES Act Fund,"600,000.00",0.00,0.00,"600,000.00",Federal Sp Prog 3
TRUE,100.5,A300705,AMPA Wide Bicycle Facil. Prog. & Activities,City of Albuquerque-DMD,Bike/Ped,2020,CMAQ-Flex,"150,000.00",0.00,"25,561.79","175,561.79",Federal Hwy
TRUE,100.5999985,A300706,AMPA Wide Bicycle Facil. Prog. & Activities,City of Albuquerque-DMD,Bike/Ped,2021,CMAQ-Flex,"150,000.00",0.00,"25,561.79","175,561.79",Federal Hwy
TRUE,202,A301820,AMPA Wide Joint TDM-Travel Demand,Rio Metro Transit Dist,TDM,2020,CMAQ-Flex,"1,090,000.00",0.00,"185,749.03","1,275,749.03",Federal Hwy
TRUE,202.1000061,A301821,AMPA Wide Joint TDM-Travel Demand,Rio Metro Transit Dist,TDM,2021,CMAQ-Flex,"1,123,000.00",0.00,"191,372.62","1,314,372.62",Federal Hwy
TRUE,219,TA00430,Commuter Rail-NMRRX Operating Assistance FFY 2020,Rio Metro NMRRX,Transit,2020,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.1000061,TA00431,Commuter Rail-NMRRX Operating Assistance FFY 2021,Rio Metro NMRRX,Transit,2021,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.1999969,TA00432,Commuter Rail-NMRRX Operating Assistance FFY 2022,Rio Metro NMRRX,Transit,2022,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.3000031,TA00433,Commuter Rail-NMRRX Operating Assistance FFY 2023,Rio Metro NMRRX,Transit,2023,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,345.3999939,TA00351,Central Ave BRT - Phase IB,City of Albuquerque-ABQ Ride,Transit,2020,CMAQ-Flex,"3,643,326.00",0.00,"620,866.29","4,264,192.29",Federal Hwy
TRUE,345.3999939,TA00351,Central Ave BRT - Phase IB,City of Albuquerque-ABQ Ride,Transit,2021,CMAQ-Flex,"3,610,326.00",0.00,"615,242.70","4,225,568.70",Federal Hwy
TRUE,872.5,A300505,Bridge Blvd Reconstruction Phase 3,County of Bernalillo,Hwy & Brg Pres,2022,CMAQ-Flex,"299,040.00",0.00,"50,959.99","349,999.99",Federal Hwy
TRUE,872.5,A300505,Bridge Blvd Reconstruction Phase 3,County of Bernalillo,Hwy & Brg Pres,2023,CMAQ-Flex,"3,004,613.00",0.00,"512,021.97","3,516,634.97",Federal Hwy
TRUE,42.09999847,A300942,NM 500 Rio Bravo Blvd & 2nd St Intersection Improvements,County of Bernalillo,Hwy & Brg Pres,2023,COVID Supplemental Funds,"3,500,000.00",0.00,0.00,"3,500,000.00",Federal Sp Prog 3
TRUE,103.8000031,A300759,ITS-Albuquerque Traffic Management Systems-Louisiana Boulevard Improvements,City of Albuquerque-DMD,ITS-TSM,2021,COVID Supplemental Funds,"600,000.00",0.00,0.00,"600,000.00",Federal Sp Prog 3
TRUE,258.1000061,A302151,4th St Revitalization Phase 2,Village of Los Ranchos de Albuquerque,Bike/Ped,2024,COVID Supplemental Funds,"1,000,000.00",0.00,0.00,"1,000,000.00",Federal Sp Prog 3
TRUE,332.3999939,A301753,NM 347 (Paseo del Volcan) and Broadmoor Blvd Intersection Improvemnts,City of Rio Rancho,Safety,2023,COVID Supplemental Funds,"150,000.00",0.00,0.00,"150,000.00",Federal Sp Prog 3
TRUE,382.2999878,A301313,Bernalillo Main St Streetscape Phase 4,Town of Bernalillo,Bike/Ped,2024,COVID Supplemental Funds,"677,397.00",0.00,0.00,"677,397.00",Federal Sp Prog 3
TRUE,508.2999878,A301052,Westside Blvd Bike/Ped Path,City of Rio Rancho,Bike/Ped,2021,COVID Supplemental Funds,"460,000.00",0.00,0.00,"460,000.00",Federal Sp Prog 3
TRUE,642.0999756,TA00371,Commuter Rail: Centralized Traffic Control,Rio Metro NMRRX,Transit,2022,COVID Supplemental Funds,"333,926.00",0.00,0.00,"333,926.00",Federal Sp Prog 3
TRUE,872.4000244,A300504,Bridge Blvd and Tower Rd Reconstruction Phase 2,County of Bernalillo,Hwy & Brg Pres,2022,COVID Supplemental Funds,"1,500,000.00",0.00,0.00,"1,500,000.00",Federal Sp Prog 3
TRUE,23.20000076,A302301,New project,County of Bernalillo,Capacity Proj,2022,FLAP-Federal Lands Access,0.00,0.00,0.00,0.00,Federal LHP
TRUE,23.20000076,A302301,New project,County of Bernalillo,Capacity Proj,2024,FLAP-Federal Lands Access,0.00,0.00,0.00,0.00,Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2021,FLHP-Tribal Trans Prog,"878,566.00",0.00,0.00,"878,566.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,FLHP-Tribal Trans Prog,"50,000.00",0.00,0.00,"50,000.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,FLHP-Tribal Trans Prog,"150,000.00",0.00,0.00,"150,000.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,FLHP-Tribal Trans Prog,"1,300,000.00",0.00,0.00,"1,300,000.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2023,FLHP-Tribal Trans Prog,"200,000.00",0.00,0.00,"200,000.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2023,FLHP-Tribal Trans Prog,"311,872.00",0.00,0.00,"311,872.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2024,FLHP-Tribal Trans Prog,"20,000.00",0.00,0.00,"20,000.00",Federal LHP
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2024,FLHP-Tribal Trans Prog,"60,000.00",0.00,0.00,"60,000.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"15,000.00",0.00,0.00,"15,000.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"15,000.00",0.00,0.00,"15,000.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"15,420.00",0.00,0.00,"15,420.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"17,657.00",0.00,0.00,"17,657.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"166,905.00",0.00,0.00,"166,905.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2020,FLHP-Tribal Trans Prog,"734,580.00",0.00,0.00,"734,580.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2021,FLHP-Tribal Trans Prog,"300,000.00",0.00,0.00,"300,000.00",Federal LHP
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2022,FLHP-Tribal Trans Prog,"200,000.00",0.00,0.00,"200,000.00",Federal LHP
TRUE,230,A301930,TTP- Pueblo de Cochiti,Pueblo of Cochiti,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"492,470.00",0.00,0.00,"492,470.00",Federal LHP
TRUE,230,A301930,TTP- Pueblo de Cochiti,Pueblo of Cochiti,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"541,717.00",0.00,0.00,"541,717.00",Federal LHP
TRUE,231,A301940,TTP-Pueblo of Isleta,Pueblo of Isleta,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"1,298,235.00",0.00,0.00,"1,298,235.00",Federal LHP
TRUE,231,A301940,TTP-Pueblo of Isleta,Pueblo of Isleta,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"296,497.00",0.00,0.00,"296,497.00",Federal LHP
TRUE,231,A301940,TTP-Pueblo of Isleta,Pueblo of Isleta,Hwy & Brg Pres,2022,FLHP-Tribal Trans Prog,0.00,0.00,0.00,0.00,Federal LHP
TRUE,231,A301940,TTP-Pueblo of Isleta,Pueblo of Isleta,Hwy & Brg Pres,2023,FLHP-Tribal Trans Prog,"963,191.00",0.00,0.00,"963,191.00",Federal LHP
TRUE,231,A301940,TTP-Pueblo of Isleta,Pueblo of Isleta,Hwy & Brg Pres,2024,FLHP-Tribal Trans Prog,"1,395,063.00",0.00,0.00,"1,395,063.00",Federal LHP
TRUE,233,A301960,TTP-Pueblo of San Felipe,Pueblo of San Felipe,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"719,965.00",0.00,0.00,"719,965.00",Federal LHP
TRUE,233,A301960,TTP-Pueblo of San Felipe,Pueblo of San Felipe,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"719,965.00",0.00,0.00,"719,965.00",Federal LHP
TRUE,234,A301970,TTP-Pueblo of Sandia,Pueblo of Sandia,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"269,474.00",0.00,0.00,"269,474.00",Federal LHP
TRUE,234,A301970,TTP-Pueblo of Sandia,Pueblo of Sandia,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"269,474.00",0.00,0.00,"269,474.00",Federal LHP
TRUE,235,A301980,TTP-Pueblo of Santa Ana,Pueblo of Santa Ana,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"272,450.00",0.00,0.00,"272,450.00",Federal LHP
TRUE,235,A301980,TTP-Pueblo of Santa Ana,Pueblo of Santa Ana,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"272,450.00",0.00,0.00,"272,450.00",Federal LHP
TRUE,236,A301990,TTP-Pueblo of Santo Domingo,Pueblo of Santo Domingo,Hwy & Brg Pres,2020,FLHP-Tribal Trans Prog,"735,496.00",0.00,0.00,"735,496.00",Federal LHP
TRUE,236,A301990,TTP-Pueblo of Santo Domingo,Pueblo of Santo Domingo,Hwy & Brg Pres,2021,FLHP-Tribal Trans Prog,"735,496.00",0.00,0.00,"735,496.00",Federal LHP
TRUE,517.0999756,A301291,New Project,Pueblo of Cochiti,Safety,2020,FLHP-Tribal Trans Prog,0.00,0.00,0.00,0.00,Federal LHP
TRUE,517.0999756,A301291,New Project,Pueblo of Cochiti,Safety,2020,FLHP-TTP used for match,0.00,0.00,0.00,0.00,Federal LHP
TRUE,136.6000061,TA00316,Rio Metro - Los Lunas Small Urban Transit Services (FY 2019 Alloc),Rio Metro Transit Dist,Transit,2020,FTA 5307 (Sm Urb Oper),"795,116.00",0.00,"795,116.00","1,590,232.00",Federal Transit
TRUE,136.6999969,TA00317,Rio Metro - Los Lunas Small Urban Transit Services (FY 2020 Alloc),Rio Metro Transit Dist,Transit,2021,FTA 5307 (Sm Urb Oper),"810,881.00",0.00,"810,881.00","1,621,762.00",Federal Transit
TRUE,136.8000031,TA00318,Rio Metro - Los Lunas Small Urban Transit Services (FY 2021 Alloc),Rio Metro Transit Dist,Transit,2022,FTA 5307 (Sm Urb Oper),"827,098.00",0.00,"827,098.00","1,654,196.00",Federal Transit
TRUE,136.8999939,TA00319,Rio Metro - Los Lunas Small Urban Transit Services (FY 2022 Alloc),Rio Metro Transit Dist,Transit,2023,FTA 5307 (Sm Urb Oper),"843,640.00",0.00,"843,640.00","1,687,280.00",Federal Transit
TRUE,139,TA00450,Rio Metro - Los Lunas Small Urban Transit Services (FY 2024 Alloc),Rio Metro Transit Dist,Transit,2024,FTA 5307 (Sm Urb Oper),"860,513.00",0.00,"860,513.00","1,721,026.00",Federal Transit
TRUE,139.1000061,TA00451,Rio Metro - Los Lunas Small Urban Transit Services (FY 2025 Alloc),Rio Metro Transit Dist,Transit,2025,FTA 5307 (Sm Urb Oper),"877,723.00",0.00,"877,723.00","1,755,446.00",Federal Transit
TRUE,126.4000015,TA00114,ABQ Ride - Transit Planning,City of Albuquerque-ABQ Ride,Transit,2021,FTA 5307 (Urban),"3,850,000.00",0.00,"962,500.00","4,812,500.00",Federal Transit
TRUE,126.5,TA00115,ABQ Ride - Transit Planning,City of Albuquerque-ABQ Ride,Transit,2023,FTA 5307 (Urban),"4,000,000.00",0.00,"1,000,000.00","5,000,000.00",Federal Transit
TRUE,126.5999985,TA00116,ABQ Ride - Transit Planning,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"3,850,000.00",0.00,"962,500.00","4,812,500.00",Federal Transit
TRUE,130.8999939,TA00139,ABQ Ride - Transit Technology Upgrade,City of Albuquerque-ABQ Ride,Transit,2021,FTA 5307 (Urban),"800,000.00",0.00,"200,000.00","1,000,000.00",Federal Transit
TRUE,130.8999939,TA00139,ABQ Ride - Transit Technology Upgrade,City of Albuquerque-ABQ Ride,Transit,2023,FTA 5307 (Urban),"800,000.00",0.00,"200,000.00","1,000,000.00",Federal Transit
TRUE,134.8999939,TA00269,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2020,FTA 5307 (Urban),"9,798,323.00",0.00,"2,449,580.75","12,247,903.75",Federal Transit
TRUE,135,TA00390,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2021,FTA 5307 (Urban),"8,680,643.00",0.00,"3,070,161.00","11,750,804.00",Federal Transit
TRUE,135.1000061,TA00391,Commuter Rail Maint of Equipment & Way & Transit Oper (FY 2022 Alloc),Rio Metro NMRRX,Transit,2022,FTA 5307 (Urban),"8,858,075.00",0.00,"3,162,268.00","12,020,343.00",Federal Transit
TRUE,135.1999969,TA00392,Commuter Rail Maint of Equipment & Way & Transit Oper (FY 2023 Alloc),Rio Metro NMRRX,Transit,2023,FTA 5307 (Urban),"9,039,057.00",0.00,"3,159,764.00","12,198,821.00",Federal Transit
TRUE,135.3000031,TA00393,Commuter Rail Maint of Eqiup & Way & Transit Oper (FY 2024 Alloc),Rio Metro NMRRX,Transit,2024,FTA 5307 (Urban),"9,223,658.00",0.00,"3,205,915.00","12,429,573.00",Federal Transit
TRUE,135.3999939,TA00394,Commuter Rail Maint of Eqiup & Way & Transit Oper (FY 2025 Alloc),Rio Metro NMRRX,Transit,2025,FTA 5307 (Urban),"9,411,951.00",0.00,"3,252,988.00","12,664,939.00",Federal Transit
TRUE,137.6999969,TA00327,Rio Metro Community Transportation,Rio Metro Transit Dist,Transit,2021,FTA 5307 (Urban),"191,000.00",0.00,"191,000.00","382,000.00",Federal Transit
TRUE,137.8000031,TA00328,Rio Metro Community Transportation (FFY 2022),Rio Metro Transit Dist,Transit,2022,FTA 5307 (Urban),"191,000.00",0.00,"191,000.00","382,000.00",Federal Transit
TRUE,137.8999939,TA00329,Rio Metro Community Transportation (2023),Rio Metro Transit Dist,Transit,2023,FTA 5307 (Urban),"191,000.00",0.00,"191,000.00","382,000.00",Federal Transit
TRUE,140,TA00460,Rio Metro Community Transportation (FFY 2024),Rio Metro Transit Dist,Transit,2024,FTA 5307 (Urban),"191,000.00",0.00,"191,000.00","382,000.00",Federal Transit
TRUE,140.1000061,TA00461,Rio Metro Community Transportation (FFY 2025),Rio Metro Transit Dist,Transit,2025,FTA 5307 (Urban),"191,000.00",0.00,"191,000.00","382,000.00",Federal Transit
TRUE,154,TA00420,ABQ Ride - Vehicles & Equip. Purchase (FFY 2020),City of Albuquerque-ABQ Ride,Transit,2020,FTA 5307 (Urban),"9,072,000.00",0.00,"1,858,121.00","10,930,121.00",Federal Transit
TRUE,154.1000061,TA00421,ABQ Ride - Vehicles & Equip. Purchase (FFY 2021),City of Albuquerque-ABQ Ride,Transit,2021,FTA 5307 (Urban),"6,124,000.00",0.00,"1,254,313.00","7,378,313.00",Federal Transit
TRUE,154.1999969,TA00422,ABQ Ride - Vehicles & Equip. Purchase (FFY 2022),City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"8,006,000.00",0.00,"1,639,783.00","9,645,783.00",Federal Transit
TRUE,154.3000031,TA00423,ABQ Ride - Vehicles & Equip. Purchase (FFY 2023),City of Albuquerque-ABQ Ride,Transit,2023,FTA 5307 (Urban),"4,706,000.00",0.00,"963,879.00","5,669,879.00",Federal Transit
TRUE,154.3999939,TA00424,ABQ Ride - Vehicles & Equip. Purchase (FFY 2024),City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"7,550,000.00",0.00,"1,546,385.00","9,096,385.00",Federal Transit
TRUE,154.5,TA00425,ABQ Ride - Vehicles & Equip. Purchase (FFY 2025),City of Albuquerque-ABQ Ride,Transit,2025,FTA 5307 (Urban),"5,250,000.00",0.00,"1,075,301.00","6,325,301.00",Federal Transit
TRUE,155,TA00470,ABQ-Ride - Transit Technology Upgrade,City of Albuquerque-ABQ Ride,Transit,2025,FTA 5307 (Urban),"800,000.00",0.00,"200,000.00","1,000,000.00",Federal Transit
TRUE,200,TA00380,ABQ Ride - Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2020,FTA 5307 (Urban),"108,000.00",0.00,"27,000.00","135,000.00",Federal Transit
TRUE,200.1000061,TA00381,ABQ Ride - Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2021,FTA 5307 (Urban),"110,000.00",0.00,"27,500.00","137,500.00",Federal Transit
TRUE,200.1999969,TA00382,ABQ Ride - Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"97,000.00",0.00,"24,250.00","121,250.00",Federal Transit
TRUE,200.3000031,TA00383,Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2023,FTA 5307 (Urban),"97,000.00",0.00,"24,250.00","121,250.00",Federal Transit
TRUE,200.3999939,TA00384,Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"100,000.00",0.00,"25,000.00","125,000.00",Federal Transit
TRUE,200.5,TA00385,Transit Enhancements,City of Albuquerque-ABQ Ride,Transit,2025,FTA 5307 (Urban),"100,000.00",0.00,"25,000.00","125,000.00",Federal Transit
TRUE,429.2000122,TA00122,ABQ Ride - Transit Security Equipment Upgrade,City of Albuquerque-ABQ Ride,Transit,2020,FTA 5307 (Urban),"108,000.00",0.00,"27,000.00","135,000.00",Federal Transit
TRUE,429.2999878,TA00123,ABQ Ride - Transit Security Equipment Upgrade,City of Albuquerque-ABQ Ride,Transit,2021,FTA 5307 (Urban),"110,000.00",0.00,"27,500.00","137,500.00",Federal Transit
TRUE,429.3999939,TA00124,Transit Security Equipment Upgrade,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"97,000.00",0.00,"24,250.00","121,250.00",Federal Transit
TRUE,429.5,TA00125,Transit Security Equipment Upgrade,City of Albuquerque-ABQ Ride,Transit,2023,FTA 5307 (Urban),"97,000.00",0.00,"24,250.00","121,250.00",Federal Transit
TRUE,429.6000061,TA00126,Transit Security Equipment Upgrade,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"100,000.00",0.00,"25,000.00","125,000.00",Federal Transit
TRUE,431.5,TA00064,ABQ Ride - Bus Stop Facilities Improvements,City of Albuquerque-ABQ Ride,Transit,2020,FTA 5307 (Urban),"500,000.00",0.00,"125,000.00","625,000.00",Federal Transit
TRUE,431.6000061,TA00065,ABQ Ride - Bus Stop Facilities Improvements,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"500,000.00",0.00,"125,000.00","625,000.00",Federal Transit
TRUE,431.7000122,TA00066,Yale Transit Facility Renovation,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"500,000.00",0.00,"125,000.00","625,000.00",Federal Transit
TRUE,431.7000122,TA00066,Yale Transit Facility Renovation,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"1,500,000.00",0.00,"375,000.00","1,875,000.00",Federal Transit
TRUE,431.7000122,TA00066,Yale Transit Facility Renovation,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"1,000,000.00",0.00,"250,000.00","1,250,000.00",Federal Transit
TRUE,431.7999878,TA00067,ABQ Ride - Bus Stop Facilities Improvements,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"250,000.00",0.00,"62,500.00","312,500.00",Federal Transit
TRUE,432.3999939,TA00143,ABQ Ride - Transit Facility Rehabilitation,City of Albuquerque-ABQ Ride,Transit,2020,FTA 5307 (Urban),"1,000,000.00",0.00,"250,000.00","1,250,000.00",Federal Transit
TRUE,432.5,TA00144,ABQ Ride - Transit Facility Rehabilitation,City of Albuquerque-ABQ Ride,Transit,2022,FTA 5307 (Urban),"1,000,000.00",0.00,"250,000.00","1,250,000.00",Federal Transit
TRUE,432.6000061,TA00145,ABQ Ride - Transit Facility Rehabilitation,City of Albuquerque-ABQ Ride,Transit,2024,FTA 5307 (Urban),"1,000,000.00",0.00,"250,000.00","1,250,000.00",Federal Transit
TRUE,154.1999969,TA00422,ABQ Ride - Vehicles & Equip. Purchase (FFY 2022),City of Albuquerque-ABQ Ride,Transit,2022,FTA 5309 (Bus/Facil),"1,300,000.00",0.00,"266,265.00","1,566,265.00",Federal Transit
TRUE,154.3000031,TA00423,ABQ Ride - Vehicles & Equip. Purchase (FFY 2023),City of Albuquerque-ABQ Ride,Transit,2023,FTA 5309 (Bus/Facil),"1,300,000.00",0.00,"266,265.00","1,566,265.00",Federal Transit
TRUE,154.3999939,TA00424,ABQ Ride - Vehicles & Equip. Purchase (FFY 2024),City of Albuquerque-ABQ Ride,Transit,2024,FTA 5309 (Bus/Facil),"1,300,000.00",0.00,"229,412.00","1,529,412.00",Federal Transit
